Promotion Seen,Timestamp
FeedFollowOptionCoachmark,1637446877
GapActivityDetailUpsell,1661127055
NavigationYouProgressEducationCoachmarkImpression,1659409626
NavigationYouProgressEducationCoachmarkImpression,1659495639
NavigationYouProgressEducationCoachmarkImpression,1660269113
NavigationYouProgressEducationCoachmarkImpression,1660353915
NavigationYouProgressEducationCoachmarkImpression,1660694718
NavigationYouProgressEducationCoachmarkImpression,1660826721
NavigationYouActivitiesEducationCoachmarkImpression,1659495104
NavigationYouActivitiesEducationCoachmarkImpression,1659495196
NavigationYouActivitiesEducationCoachmarkImpression,1659495248
NavigationYouActivitiesEducationCoachmarkImpression,1659495354
NavigationYouActivitiesEducationCoachmarkImpression,1659495402
NavigationYouActivitiesEducationCoachmarkImpression,1659495486
ActivityDetailsLeaderboardQualityCoachmark,1660353811
ActivityDetailsLeaderboardQualityCoachmark,1660354018
RecordScreenBeaconCoachmark,1659230869
MapSettingsPersonalHeatmapCoachmark,1637436963
MapVisibilityFeedCoachmarkImpression,1659236808
MapVisibilityFeedCoachmarkImpression,1659236813
MapVisibilityFeedCoachmarkImpression,1659236845
MapVisibilityFeedCoachmarkImpression,1659236875
MapVisibilityFeedCoachmarkImpression,1659236897
MapVisibilityFeedCoachmarkImpression,1659237105
MapVisibilityRowReinforcementImpression,1659236813
MapVisibilityRowReinforcementImpression,1659236838
MapVisibilityRowReinforcementImpression,1659236845
MapVisibilityRowReinforcementImpression,1659236875
MapVisibilityRowReinforcementImpression,1659236896
MapVisibilityRowReinforcementImpression,1659237104
MapVisibilityActivityCoachmarkImpression,1659409633
MapVisibilityActivityCoachmarkDismissed,1659409640
WelcomeBackKudosCoachmarkImpression,1658976529
WelcomeBackKudosCoachmarkImpression,1658976539
WelcomeBackKudosCoachmarkImpression,1658976736
RouteFromActivityMoreOptionsButtonCoachmark,1658976468
RouteFromActivitySaveButtonCoachmark,1659236851
MapVisibilitySettingCogCoachmark,1660694989
Map3dEducationVisibility,1659230869
MentionsSettingCogCoachmark,1660694989
AppleHealthWinbackOverlay,1659230845
MapsTabDirtSports,1658976761
MapsTabDirtFirstTimeExperienceFree,1658976761
OfflineMapsFirstTimeExperience,1660781266
FollowingFeedDoradoCooldown,1658976461
FollowingFeedDoradoCooldown,1659230845
FollowingFeedDoradoCooldown,1659244455
FollowingFeedDoradoCooldown,1659282728
FollowingFeedDoradoCooldown,1659407502
FollowingFeedDoradoCooldown,1659444241
FollowingFeedDoradoCooldown,1659461350
FollowingFeedDoradoCooldown,1659472336
FollowingFeedDoradoCooldown,1659484088
FollowingFeedDoradoCooldown,1659495038
FollowingFeedDoradoCooldown,1659514043
FollowingFeedDoradoCooldown,1659529123
FollowingFeedDoradoCooldown,1659540361
FollowingFeedDoradoCooldown,1659551810
FollowingFeedDoradoCooldown,1659563586
FollowingFeedDoradoCooldown,1659582892
FollowingFeedDoradoCooldown,1660262504
FollowingFeedDoradoCooldown,1660282490
FollowingFeedDoradoCooldown,1660294432
FollowingFeedDoradoCooldown,1660350992
FollowingFeedDoradoCooldown,1660362787
FollowingFeedDoradoCooldown,1660374759
FollowingFeedDoradoCooldown,1660416654
FollowingFeedDoradoCooldown,1660442739
FollowingFeedDoradoCooldown,1660457343
FollowingFeedDoradoCooldown,1660497445
FollowingFeedDoradoCooldown,1660519356
FollowingFeedDoradoCooldown,1660530486
FollowingFeedDoradoCooldown,1660573485
FollowingFeedDoradoCooldown,1660592615
FollowingFeedDoradoCooldown,1660604408
FollowingFeedDoradoCooldown,1660615218
FollowingFeedDoradoCooldown,1660671499
FollowingFeedDoradoCooldown,1660690078
FollowingFeedDoradoCooldown,1660700981
FollowingFeedDoradoCooldown,1660779769
FollowingFeedDoradoCooldown,1660826708
FollowingFeedDoradoCooldown,1661101500
FollowingFeedDoradoCooldown,1661120631
FollowingFeedDoradoCooldown,1661131523
FollowingFeedDoradoCooldown,1661143387
FollowingFeedDoradoCooldown,1661160654
FollowingFeedDoradoCooldown,1661182511
FollowingFeedDoradoCooldown,1661208969
FollowingFeedDoradoCooldown,1661220255
FollowingFeedDoradoCooldown,1661268316
FollowingFeedDoradoCooldown,1661297591
FollowingFeedDoradoCooldown,1661344155
FollowingFeedDoradoCooldown,1661362784
FollowingFeedDoradoCooldown,1661382350
FollowingFeedDoradoCooldown,1661393688
FollowingFeedDoradoCooldown,1661405473
FollowingFeedDoradoCooldown,1661417829
FollowingFeedDoradoCooldown,1661432771
FollowingFeedDoradoCooldown,1661520840
FollowingFeedDoradoCooldown,1661718167
FollowingFeedDoradoCooldown,1662344763
FollowingFeedDoradoCooldown,1663104313
FollowingFeedDoradoCooldown,1663453264
FollowingFeedDoradoCooldown,1664215185
UtmbActivitySuggestion,1661297593
UtmbActivitySuggestion,1661344157
UtmbActivitySuggestion,1661354636
UtmbActivitySuggestion,1661362786
UtmbActivitySuggestion,1661386053
UtmbActivitySuggestion,1661432773
UtmbActivitySuggestion,1661520842
UtmbActivitySuggestion,1661718169
